INDICE;NOME;COMENTARIO;ICONE;ALTITUDE;DATA;ANGULO;DISPLAY;ZONA;Y;X;TIPO;LOCAL;DIMENSAO;TESTE
409;409;29/6/2011;101;444,97266;30/12/1989 21:00:00;0;0;21K;7541644,961;728820,497;1;TERRENO;P;1
410;410;29/6/2011;101;437,04175;30/12/1989 21:00:00;0;0;21K;7541601,271;728348,305;5;TERRENO;P;1
411;411;29/6/2011;101;441,36755;30/12/1989 21:00:00;0;0;21K;7541610,087;728276,169;6;TERRENO;M;2
412;412;29/6/2011;101;434,63855;30/12/1989 21:00:00;0;0;21K;7541073,018;728276,08;1;TERRENO;M;2
413;413;29/6/2011;101;433,67712;30/12/1989 21:00:00;0;0;21K;7541064,915;728201,607;3;CALCADA;M;2
414;414;29/6/2011;101;434,87878;30/12/1989 21:00:00;0;0;21K;7540793,233;727944,787;7;TERRENO;P;1
415;415;29/6/2011;101;419,4978;30/12/1989 21:00:00;0;0;21K;7542752,187;728494,351;6;LIMITEUR;P;1
416;416;29/6/2011;101;442,08862;30/12/1989 21:00:00;0;0;21K;7542003,284;728676,449;1;TERRENO;EG;4
417;417;29/6/2011;101;428,14966;30/12/1989 21:00:00;0;0;21K;7541998,307;729498,792;6;CALCADA;P;1
418;418;29/6/2011;101;433,67712;30/12/1989 21:00:00;0;0;21K;7541823,997;729439,681;3;TERRENO;M;2
419;419;29/6/2011;101;435,59973;30/12/1989 21:00:00;0;0;21K;7541837,332;729825,444;2;CALCADA;M;2
420;420;29/6/2011;101;428,39001;30/12/1989 21:00:00;0;0;21K;7542709,158;728948,733;6;TERRENO;M;2
